"Path","Status","Confidence","Reason","Suggestion","SizeBytes","Modified"
"docs\cleanup_reports\2.19_RC2\cleanup_inventory.csv","REVIEW","LOW","Keine sichere automatische Klassifikation.","Manuell prüfen","41451","2026-07-15 14:49:08"
"docs\cleanup_reports\2.19_RC2\cleanup_report.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","23909","2026-07-15 14:49:08"
"docs\CODE_STYLE.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","96","2026-07-13 11:43:44"
"docs\CONTRIBUTING.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","60","2026-07-13 11:43:44"
"docs\DEVELOPMENT_WORKFLOW.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","112","2026-07-13 11:43:44"
"docs\KNOWN_ISSUES.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","271","2026-07-13 11:43:44"
"docs\README.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","161","2026-07-13 11:43:44"
"docs\RENDERING_FOUNDATION.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","1189","2026-07-13 11:43:44"
"docs\requirements.txt","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","56","2026-07-13 11:43:44"
"docs\TESTING.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","92","2026-07-13 11:43:44"
"exports\08_07_2026_Next_show_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2332202","2026-07-13 11:43:44"
"exports\08_07_2026_Next_show_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2332202","2026-07-13 11:43:44"
"exports\banner_editor_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","1743355","2026-07-13 11:43:45"
"exports\caption_render.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","1577725","2026-07-15 14:19:53"
"exports\card_001_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2358106","2026-07-13 11:43:45"
"exports\card_001_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2358106","2026-07-13 11:43:45"
"exports\card_002_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2354463","2026-07-13 11:43:45"
"exports\card_002_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2354463","2026-07-13 11:43:45"
"exports\card_Default_Stream_Plan_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2700053","2026-07-15 11:34:01"
"exports\card_Default_Stream_Plan_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2351638","2026-07-13 11:43:45"
"exports\card_Default_Stream_Plan_instagram_square_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","1262801","2026-07-15 11:38:46"
"exports\card_Default_Stream_Plan_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","33855","2026-07-13 11:43:45"
"exports\card_Default_Stream_Plan_tiktok_vertical_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2738810","2026-07-15 11:39:12"
"exports\card_Default_Stream_Plan_youtube_thumb_preview.jpg","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","170076","2026-07-15 11:38:21"
"exports\card_New_08_07_2026_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2332202","2026-07-13 11:43:45"
"exports\card_New_Template_2_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","34238","2026-07-13 11:43:45"
"exports\card_New_Template_2_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","34238","2026-07-13 11:43:45"
"exports\card_New_Template_3_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2396855","2026-07-13 11:43:45"
"exports\card_New_Template_5_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2628147","2026-07-13 11:43:45"
"exports\card_New_Template_7_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2809839","2026-07-13 11:43:45"
"exports\card_New_Template_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2350843","2026-07-13 11:43:45"
"exports\card_New_Template_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2345401","2026-07-13 11:43:45"
"exports\card_next_show_copy_test_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2330464","2026-07-13 11:43:46"
"exports\card_next_show_copy_test_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2357129","2026-07-13 11:43:46"
"exports\card_next_show_test_test_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2345974","2026-07-13 11:43:46"
"exports\card_next_show_test_test_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2345974","2026-07-13 11:43:46"
"exports\card_next_show_test_test_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2345974","2026-07-13 11:43:46"
"exports\card_now_showing_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2004909","2026-07-13 11:43:46"
"exports\card_now_showing_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2009720","2026-07-13 11:43:46"
"exports\card_now_showing_test_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2016036","2026-07-13 11:43:46"
"exports\card_Test_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2361200","2026-07-13 11:43:46"
"exports\card_Test_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2361200","2026-07-13 11:43:46"
"exports\card_Test_instagram_square_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","1123050","2026-07-13 11:43:46"
"exports\card_Test_instagram_square_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","1123050","2026-07-13 11:43:46"
"exports\card_Test_obs_overlay_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2360524","2026-07-13 11:43:46"
"exports\card_Test_obs_overlay_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2360524","2026-07-13 11:43:46"
"exports\card_Test_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2360524","2026-07-13 11:43:46"
"exports\card_Test_tiktok_vertical_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2394687","2026-07-13 11:43:46"
"exports\card_Test_tiktok_vertical_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2394687","2026-07-13 11:43:46"
"exports\card_Test_youtube_thumb_final.jpg","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","145751","2026-07-13 11:43:46"
"exports\card_Test_youtube_thumb_preview.jpg","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","145751","2026-07-13 11:43:46"
"exports\card_test_zoom_etc_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2396855","2026-07-13 11:43:47"
"exports\card_test_zoom_etc_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2396855","2026-07-13 11:43:47"
"exports\card_this_week_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2366879","2026-07-13 11:43:47"
"exports\card_this_week_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2366879","2026-07-13 11:43:47"
"exports\card_this_week_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2366879","2026-07-13 11:43:47"
"exports\card_this_week_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2366879","2026-07-13 11:43:47"
"exports\card_zoom_test_2_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2568263","2026-07-13 11:43:47"
"exports\card_zoom_test_2_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2568263","2026-07-13 11:43:47"
"exports\card_zoom_test_2_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2583974","2026-07-13 11:43:47"
"exports\card_zoom_test_2_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2568263","2026-07-13 11:43:47"
"exports\card_zoom_test_3_broadcast_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2346201","2026-07-13 11:43:47"
"exports\card_zoom_test_3_broadcast_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2346968","2026-07-14 12:09:14"
"exports\card_zoom_test_3_final.png","REVIEW","MEDIUM","Exportdatei: absichtlich versioniert oder generiert?","Manuell entscheiden","2344740","2026-07-13 11:43:47"
"exports\card_zoom_test_3_preview.png","REVIEW","HIGH","Erzeugte Export-Vorschau; möglicherweise nicht zur Versionierung bestimmt.","Prüfen; eventuell .gitignore ergänzen","2344870","2026-07-13 11:43:47"
"RENDERING_FOUNDATION.md","REVIEW","MEDIUM","Dokumentation ohne eindeutiges Aktiv-/Archiv-Signal.","Inhalt prüfen","1189","2026-07-13 11:43:48"
"VADAFOK_CODE_ONLY.zip","REVIEW","HIGH","Eingechecktes Archiv; Nutzen und Aktualität prüfen.","Manuell entscheiden","521021","2026-07-13 11:43:48"
